ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _dokan_previous_status","Meta: _porto_demo","Meta: product_image_on_hover","Meta: custom_tab_priority1","Meta: custom_tab_priority2","Meta: pageview","Meta: _per_product_admin_commission_type","Meta: _per_product_admin_commission","Meta: _per_product_admin_additional_fee","Meta: _wpml_media_has_media","Meta: _vcv-sourceChecksum","Meta: vcvSourceCssFileUrl","Meta: _vcv-globalCssMigrated","Meta: header_view","Meta: layout","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _wpb_vc_js_status","Meta: _aioseo_title","Meta: _aioseo_description","Meta: _aioseo_keywords","Meta: _aioseo_og_title","Meta: _aioseo_og_description","Meta: _aioseo_og_article_section","Meta: _aioseo_og_article_tags","Meta: _aioseo_twitter_title","Meta: _aioseo_twitter_description","Meta: _monsterinsights_sitenote_active","Meta: _dokan_new_product_email_sent","Meta: _disable_shipping","Meta: _overwrite_shipping","Meta: _additional_price","Meta: _additional_qty","Meta: _dps_processing_time"
74,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Breakfast,,,https://pmag.r2.software/wp-content/uploads/2020/07/601731.jpg,,,,,,,,,0,,shop35-soft#74,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
76,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/483438.jpg,,,,,,,,,0,,shop35-soft#76,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
77,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,"2025-04-29 3:59:59",taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Cooking,,,https://pmag.r2.software/wp-content/uploads/2020/07/481837.jpg,,,,,,,,,0,,shop35-soft#77,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,,,,,,,false,,,,,,,,,,0,,,,,,
78,simple,1234567890,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,"2025-11-01 3:59:59",taxable,,1,,,0,0,,,,,1,,39,"59,00",Cooking,,,https://pmag.r2.software/wp-content/uploads/2020/07/473162.jpg,,,,,,,,,0,,shop35-soft#78,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,,,,,,,false,,,,,,,,,,0,,,,,,
79,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/528369.jpg,,,,,,,,,0,,shop35-soft#79,yes,40,41,2,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
80,variable,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/647382.jpg,,,,,,,,,0,,shop35-soft#80,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
81,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/491876.jpg,,,,,,,,,0,,shop35-soft#81,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
83,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/528435.jpg,,,,,,,,,0,,shop35-soft#83,yes,40,41,1,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
85,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/652341.jpg,,,,,,,,,0,,shop35-soft#85,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
86,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Frozen,,,https://pmag.r2.software/wp-content/uploads/2020/07/587131.jpg,,,,,,,,,0,,shop35-soft#86,yes,40,41,3,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
87,simple,,"Product Short Name",1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,"49,00","59,00",Fruits,,,https://pmag.r2.software/wp-content/uploads/2020/07/486658.jpg,,,,,,,,,0,,shop35-soft#87,yes,40,41,,,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,default,right-sidebar,,,,,,,,,,,,,,,,,,,,,
516,variation,,"Product Short Name",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,49,59,,,,,,,id:80,,,,,,0,,shop35-soft#516,,,,,,,,,,,,,,pa_madeby,,,1,,,,,,,,,,,,,,,,,
1973,simple,,"Vendor -1",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,,,,,,,,,,0,,,,40,41,4,flat,,,,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,,,,,,,,,,,,,,,,,,,,,,,
2035,simple,,Test,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,12,Uncategorized,,,https://pmag.r2.software/wp-content/uploads/2024/09/018A5884-copy.jpg,,,,,,,,,0,,,,40,41,5,flat,,,1,20cc41c965f94763ac0b883ec419e040,/assets-bundles/20cc41c965f94763ac0b883ec419e040.source.css,1,,,,,,,,,,,,,,,,,,yes,no,no,,,
